#
#  k,  E_varmin,  E - E_var,  E,  E + E_var
# averaged of total time steps of =    8000000
 157  0.1531814375872E-05  0.1536000175524E-05  0.1747872751463E-05  0.1959745327402E-05
 158  0.1511645423371E-05  0.1516347624908E-05  0.1727077309915E-05  0.1937806994923E-05
 159  0.1494825718743E-05  0.1501122626655E-05  0.1709476934719E-05  0.1917831242782E-05
 160  0.1480197191780E-05  0.1485320727705E-05  0.1690909627675E-05  0.1896498527645E-05
 161  0.1465441798806E-05  0.1467619162081E-05  0.1670311018362E-05  0.1873002874643E-05
 162  0.1448254473871E-05  0.1448936583482E-05  0.1650130787630E-05  0.1851324991777E-05
 163  0.1426711086961E-05  0.1429816858276E-05  0.1630040557686E-05  0.1830264257095E-05
 164  0.1403601580936E-05  0.1410537400624E-05  0.1607971063465E-05  0.1805404726306E-05
 165  0.1386420206537E-05  0.1392071475199E-05  0.1586228008697E-05  0.1780384542196E-05
 166  0.1377056569711E-05  0.1378474181432E-05  0.1569510979793E-05  0.1760547778154E-05
 167  0.1366411084321E-05  0.1366599551453E-05  0.1555986991517E-05  0.1745374431581E-05
 168  0.1346486894695E-05  0.1351285630881E-05  0.1539766597617E-05  0.1728247564352E-05
 169  0.1322745183615E-05  0.1332375197204E-05  0.1519871691232E-05  0.1707368185261E-05
 170  0.1305959147602E-05  0.1316362253840E-05  0.1500502174431E-05  0.1684642095022E-05
 171  0.1296674653778E-05  0.1305398583058E-05  0.1483734455393E-05  0.1662070327728E-05
 172  0.1285745882883E-05  0.1293309943378E-05  0.1467738785764E-05  0.1642167628150E-05
 173  0.1267475229023E-05  0.1277703593556E-05  0.1450637840793E-05  0.1623572088030E-05
 174  0.1246051250379E-05  0.1260388718209E-05  0.1432941170106E-05  0.1605493622004E-05
 175  0.1229129349266E-05  0.1245536159834E-05  0.1417161013250E-05  0.1588785866666E-05
 176  0.1217960114404E-05  0.1234658698992E-05  0.1403908489011E-05  0.1573158279029E-05
 177  0.1207001826106E-05  0.1223809367801E-05  0.1390025573626E-05  0.1556241779452E-05
 178  0.1193332675240E-05  0.1209433882743E-05  0.1372976036352E-05  0.1536518189962E-05
 179  0.1179929344387E-05  0.1193815791965E-05  0.1354954810168E-05  0.1516093828370E-05
 180  0.1167925920681E-05  0.1179741100853E-05  0.1338422992733E-05  0.1497104884613E-05
 181  0.1154142496377E-05  0.1167300304205E-05  0.1323420334681E-05  0.1479540365156E-05
 182  0.1138205720998E-05  0.1155521756032E-05  0.1309493806966E-05  0.1463465857900E-05
 183  0.1123813142894E-05  0.1143576887205E-05  0.1296674241075E-05  0.1449771594946E-05
 184  0.1112372816990E-05  0.1132342020641E-05  0.1283271413674E-05  0.1434200806707E-05
 185  0.1102128620534E-05  0.1120505858341E-05  0.1268544246776E-05  0.1416582635212E-05
 186  0.1091936620939E-05  0.1107903831095E-05  0.1254178755826E-05  0.1400453680557E-05
 187  0.1081487354708E-05  0.1096037554580E-05  0.1240985862102E-05  0.1385934169624E-05
 188  0.1070188651115E-05  0.1083474170926E-05  0.1227088060508E-05  0.1370701950091E-05
 189  0.1058287417876E-05  0.1070454560597E-05  0.1212013829252E-05  0.1353573097906E-05
 190  0.1046794423313E-05  0.1060284738632E-05  0.1200226845179E-05  0.1340168951727E-05
 191  0.1035382823304E-05  0.1059552532479E-05  0.1200951146654E-05  0.1342349760829E-05
 192  0.1022263684062E-05  0.1046760106820E-05  0.1184906145236E-05  0.1323052183651E-05
 193  0.1007297269716E-05  0.1026515014532E-05  0.1159972942863E-05  0.1293430871194E-05
 194  0.9939240469882E-06  0.1013106743150E-05  0.1144536662674E-05  0.1275966582198E-05
 195  0.9854009895163E-06  0.1005168455692E-05  0.1135661623807E-05  0.1266154791921E-05
 196  0.9794515457686E-06  0.9945562732259E-06  0.1123268252783E-05  0.1251980232340E-05
 197  0.9706150524885E-06  0.9834767602702E-06  0.1110851844155E-05  0.1238226928039E-05
 198  0.9579614001306E-06  0.9759297485079E-06  0.1102334945049E-05  0.1228740141591E-05
 199  0.9457695136699E-06  0.9826732863459E-06  0.1112680480612E-05  0.1242687674878E-05
 200  0.9368703839541E-06  0.9789743840742E-06  0.1109127300097E-05  0.1239280216121E-05
 201  0.9296326721652E-06  0.9601994129148E-06  0.1085697191125E-05  0.1211194969334E-05
 202  0.9209063191416E-06  0.9482961756169E-06  0.1072491555617E-05  0.1196686935617E-05
 203  0.9094499778051E-06  0.9388790904249E-06  0.1061589828938E-05  0.1184300567451E-05
 204  0.8970368886276E-06  0.9181700365175E-06  0.1035776224452E-05  0.1153382412386E-05
 205  0.8865444964732E-06  0.9138135979853E-06  0.1032298162419E-05  0.1150782726853E-05
 206  0.8784290076411E-06  0.8953289635105E-06  0.1010387701160E-05  0.1125446438810E-05
 207  0.8706438319469E-06  0.8919468805581E-06  0.1007464179982E-05  0.1122981479406E-05
 208  0.8620747794407E-06  0.8764607190499E-06  0.9881768863150E-06  0.1099893053580E-05
 209  0.8533148852968E-06  0.8652709236636E-06  0.9737573575298E-06  0.1082243791396E-05
 210  0.8446449877395E-06  0.8529569300302E-06  0.9589598690984E-06  0.1064962808167E-05
 211  0.8359671461544E-06  0.8433658322629E-06  0.9484448282487E-06  0.1053523824235E-05
 212  0.8277114224692E-06  0.8343558109716E-06  0.9384341201133E-06  0.1042512429255E-05
 213  0.8198470856315E-06  0.8255432601270E-06  0.9283295833409E-06  0.1031115906555E-05
 214  0.8112227518573E-06  0.8159721691800E-06  0.9180217013870E-06  0.1020071233594E-05
 215  0.8012576445650E-06  0.8062366707188E-06  0.9081982211712E-06  0.1010159771624E-05
 216  0.7911755510264E-06  0.7976511165166E-06  0.8990910303900E-06  0.1000530944263E-05
 217  0.7827360906721E-06  0.7897634408622E-06  0.8900302321962E-06  0.9902970235301E-06
 218  0.7761177713707E-06  0.7825853272768E-06  0.8807602846286E-06  0.9789352419803E-06
 219  0.7697105061235E-06  0.7752592666196E-06  0.8715604020007E-06  0.9678615373818E-06
 220  0.7622935931909E-06  0.7677561716285E-06  0.8627661737178E-06  0.9577761758071E-06
 221  0.7545509113847E-06  0.7602276368001E-06  0.8546323701911E-06  0.9490371035822E-06
 222  0.7474840996058E-06  0.7531993724979E-06  0.8468364496105E-06  0.9404735267231E-06
 223  0.7405227233171E-06  0.7467329095562E-06  0.8385159019172E-06  0.9302988942781E-06
 224  0.7328911486159E-06  0.7390789786493E-06  0.8297839109615E-06  0.9204888432737E-06
 225  0.7254385193683E-06  0.7312265233255E-06  0.8221495701636E-06  0.9130726170018E-06
 226  0.7189634810679E-06  0.7256531104976E-06  0.8162527412561E-06  0.9068523720146E-06
 227  0.7123687650979E-06  0.7209297413039E-06  0.8104703704174E-06  0.9000109995309E-06
 228  0.7046158872189E-06  0.7147875850533E-06  0.8032286176438E-06  0.8916696502344E-06
 229  0.6967635463056E-06  0.7077823032463E-06  0.7951944559381E-06  0.8826066086299E-06
 230  0.6899281796149E-06  0.7017683153862E-06  0.7882609536714E-06  0.8747535919566E-06
 231  0.6832161597775E-06  0.6970716990906E-06  0.7829154763919E-06  0.8687592536932E-06
 232  0.6755717769991E-06  0.6923598814855E-06  0.7781900688736E-06  0.8640202562617E-06
 233  0.6677148497816E-06  0.6873406138814E-06  0.7730830575422E-06  0.8588255012029E-06
 234  0.6605082965813E-06  0.6821736505882E-06  0.7676126468885E-06  0.8530516431888E-06
 235  0.6532475325081E-06  0.6772240790055E-06  0.7623386371839E-06  0.8474531953624E-06
 236  0.6454739912725E-06  0.6727524309246E-06  0.7576588861080E-06  0.8425653412915E-06
 237  0.6386913366534E-06  0.6693613329018E-06  0.7539728971881E-06  0.8385844614744E-06
 238  0.6339158677686E-06  0.6668703614911E-06  0.7511323425352E-06  0.8353943235794E-06
 239  0.6293550563581E-06  0.6642866847715E-06  0.7482922025134E-06  0.8322977202554E-06
 240  0.6231441482452E-06  0.6612313854072E-06  0.7450670500891E-06  0.8289027147711E-06
 241  0.6164625826724E-06  0.6588473474247E-06  0.7431981004622E-06  0.8275488534997E-06
 242  0.6111245665561E-06  0.6594665904466E-06  0.7445294644080E-06  0.8295923383694E-06
 243  0.6062185313410E-06  0.6615508455330E-06  0.7478713994012E-06  0.8341919532693E-06
 244  0.5999825513311E-06  0.6621957486952E-06  0.7497433434302E-06  0.8372909381652E-06
 245  0.5929356849128E-06  0.6616515696556E-06  0.7499243615029E-06  0.8381971533502E-06
 246  0.5866034324740E-06  0.6640525471790E-06  0.7540899395301E-06  0.8441273318812E-06
 247  0.5809024384660E-06  0.6728774450559E-06  0.7668802615240E-06  0.8608830779921E-06
 248  0.5748564361725E-06  0.6836110859884E-06  0.7831658582589E-06  0.8827206305295E-06
 249  0.5686808293039E-06  0.6903098551614E-06  0.7935748104155E-06  0.8968397656695E-06
 250  0.5632346668328E-06  0.6967573715580E-06  0.8024337325385E-06  0.9081100935190E-06
 251  0.5581532909063E-06  0.7160570776342E-06  0.8296040834456E-06  0.9431510892570E-06
 252  0.5523293863018E-06  0.7537186009761E-06  0.8854343646212E-06  0.1017150128266E-05
