#
#  k,  E_varmin,  E - E_var,  E,  E + E_var
# averaged of total time steps of =    8000000
 199  0.9457695136699E-06  0.1065579862366E-05  0.1207314669906E-05  0.1349049477446E-05
 200  0.9368703839541E-06  0.1056247420539E-05  0.1203139227940E-05  0.1350031035340E-05
 201  0.9296326721652E-06  0.1069482039824E-05  0.1221114997986E-05  0.1372747956148E-05
 202  0.9209063191416E-06  0.1024568988125E-05  0.1151820607408E-05  0.1279072226691E-05
 203  0.9094499778051E-06  0.1011699430928E-05  0.1135744585354E-05  0.1259789739780E-05
 204  0.8970368886276E-06  0.1017964413808E-05  0.1170758744781E-05  0.1323553075753E-05
 205  0.8865444964732E-06  0.9939406082666E-06  0.1120232126760E-05  0.1246523645254E-05
 206  0.8784290076411E-06  0.9885680428067E-06  0.1116105900705E-05  0.1243643758603E-05
 207  0.8706438319469E-06  0.9770640023110E-06  0.1090725343113E-05  0.1204386683914E-05
 208  0.8620747794407E-06  0.9668332073142E-06  0.1086681941771E-05  0.1206530676227E-05
 209  0.8533148852968E-06  0.9495811205751E-06  0.1058567733011E-05  0.1167554345447E-05
 210  0.8446449877395E-06  0.9544889948765E-06  0.1067715130844E-05  0.1180941266811E-05
 211  0.8359671461544E-06  0.9255714299092E-06  0.1036821863891E-05  0.1148072297872E-05
 212  0.8277114224692E-06  0.9431052946414E-06  0.1062197906881E-05  0.1181290519120E-05
 213  0.8198470856315E-06  0.9194894878716E-06  0.1030087540543E-05  0.1140685593215E-05
 214  0.8112227518573E-06  0.9003987125361E-06  0.1006195034887E-05  0.1111991357238E-05
 215  0.8012576445650E-06  0.8899115825960E-06  0.9993398556767E-06  0.1108768128757E-05
 216  0.7911755510264E-06  0.8920305495733E-06  0.9978585771127E-06  0.1103686604652E-05
 217  0.7827360906721E-06  0.8815113721285E-06  0.9798260949305E-06  0.1078140817732E-05
 218  0.7761177713707E-06  0.8527053053567E-06  0.9455796353517E-06  0.1038453965347E-05
 219  0.7697105061235E-06  0.8505828329585E-06  0.9409276199025E-06  0.1031272406846E-05
 220  0.7622935931909E-06  0.8682777260357E-06  0.9616637380391E-06  0.1055049750043E-05
 221  0.7545509113847E-06  0.8680114905329E-06  0.9646290777808E-06  0.1061246665029E-05
 222  0.7474840996058E-06  0.8410227917605E-06  0.9382595261688E-06  0.1035496260577E-05
 223  0.7405227233171E-06  0.8238817274741E-06  0.9212713450009E-06  0.1018660962528E-05
 224  0.7328911486159E-06  0.8325619231957E-06  0.9236447832354E-06  0.1014727643275E-05
 225  0.7254385193683E-06  0.8086030461996E-06  0.8923043062617E-06  0.9760055663238E-06
 226  0.7189634810679E-06  0.8173379764725E-06  0.9038491980257E-06  0.9903604195789E-06
 227  0.7123687650979E-06  0.8168441375219E-06  0.9108404546959E-06  0.1004836771870E-05
 228  0.7046158872189E-06  0.8050959648996E-06  0.8913990823454E-06  0.9777021997911E-06
 229  0.6967635463056E-06  0.8031311786839E-06  0.8885267850976E-06  0.9739223915113E-06
 230  0.6899281796149E-06  0.7914998538592E-06  0.8799759176329E-06  0.9684519814067E-06
