#
#  k,  E_varmin,  E - E_var,  E,  E + E_var
# averaged of total time steps of =    8000000
 168  0.1346486894695E-05  0.1212240437533E-05  0.1342557445009E-05  0.1472874452486E-05
 169  0.1322745183615E-05  0.1197368427526E-05  0.1325536620228E-05  0.1453704812930E-05
 170  0.1305959147602E-05  0.1183192546914E-05  0.1309412657386E-05  0.1435632767858E-05
 171  0.1296674653778E-05  0.1170715454273E-05  0.1295495872143E-05  0.1420276290014E-05
 172  0.1285745882883E-05  0.1157994841540E-05  0.1281555041897E-05  0.1405115242254E-05
 173  0.1267475229023E-05  0.1143927186812E-05  0.1265654737682E-05  0.1387382288551E-05
 174  0.1246051250379E-05  0.1128726204473E-05  0.1248892035931E-05  0.1369057867389E-05
 175  0.1229129349266E-05  0.1115598369360E-05  0.1234167765593E-05  0.1352737161825E-05
 176  0.1217960114404E-05  0.1105220969639E-05  0.1222026763351E-05  0.1338832557063E-05
 177  0.1207001826106E-05  0.1094240595893E-05  0.1209294512006E-05  0.1324348428118E-05
 178  0.1193332675240E-05  0.1081397180003E-05  0.1194395143741E-05  0.1307393107478E-05
 179  0.1179929344387E-05  0.1068472683583E-05  0.1180153795939E-05  0.1291834908295E-05
 180  0.1167925920681E-05  0.1056871338685E-05  0.1168108890385E-05  0.1279346442085E-05
 181  0.1154142496377E-05  0.1045988618811E-05  0.1155809002280E-05  0.1265629385748E-05
 182  0.1138205720998E-05  0.1033997290667E-05  0.1142483146624E-05  0.1250969002581E-05
 183  0.1123813142894E-05  0.1022891101260E-05  0.1130457905170E-05  0.1238024709081E-05
 184  0.1112372816990E-05  0.1013590457695E-05  0.1119722869713E-05  0.1225855281730E-05
 185  0.1102128620534E-05  0.1003040674571E-05  0.1107776626808E-05  0.1212512579046E-05
 186  0.1091936620939E-05  0.9914418057639E-06  0.1094485337291E-05  0.1197528868817E-05
 187  0.1081487354708E-05  0.9808325692708E-06  0.1081913247073E-05  0.1182993924875E-05
 188  0.1070188651115E-05  0.9709900347583E-06  0.1070500074754E-05  0.1170010114750E-05
 189  0.1058287417876E-05  0.9608192018012E-06  0.1059013307447E-05  0.1157207413092E-05
 190  0.1046794423313E-05  0.9497367828925E-06  0.1046980863931E-05  0.1144224944969E-05
 191  0.1035382823304E-05  0.9384937314397E-06  0.1035015363984E-05  0.1131536996528E-05
 192  0.1022263684062E-05  0.9283489979914E-06  0.1023354034836E-05  0.1118359071680E-05
 193  0.1007297269716E-05  0.9183108061215E-06  0.1011763797586E-05  0.1105216789050E-05
 194  0.9939240469882E-06  0.9085184708773E-06  0.1000708489184E-05  0.1092898507490E-05
 195  0.9854009895163E-06  0.8992746337400E-06  0.9906451756575E-06  0.1082015717575E-05
 196  0.9794515457686E-06  0.8889785190703E-06  0.9804681170588E-06  0.1071957715047E-05
 197  0.9706150524885E-06  0.8786051877863E-06  0.9692391684837E-06  0.1059873149181E-05
 198  0.9579614001306E-06  0.8703294114455E-06  0.9583891314981E-06  0.1046448851551E-05
 199  0.9457695136699E-06  0.8628477021034E-06  0.9491177789530E-06  0.1035387855803E-05
 200  0.9368703839541E-06  0.8543553688104E-06  0.9399723993116E-06  0.1025589429813E-05
 201  0.9296326721652E-06  0.8451509685989E-06  0.9298891232990E-06  0.1014627277999E-05
 202  0.9209063191416E-06  0.8359600391043E-06  0.9200391813111E-06  0.1004118323518E-05
 203  0.9094499778051E-06  0.8274989437907E-06  0.9108470962296E-06  0.9941952486686E-06
 204  0.8970368886276E-06  0.8190491649571E-06  0.9011232873070E-06  0.9831974096569E-06
 205  0.8865444964732E-06  0.8097315279772E-06  0.8909384909598E-06  0.9721454539423E-06
 206  0.8784290076411E-06  0.8010426506597E-06  0.8816129139955E-06  0.9621831773313E-06
 207  0.8706438319469E-06  0.7934979319530E-06  0.8731307425821E-06  0.9527635532111E-06
 208  0.8620747794407E-06  0.7852317567155E-06  0.8643187829876E-06  0.9434058092597E-06
 209  0.8533148852968E-06  0.7767609462787E-06  0.8549809862285E-06  0.9332010261783E-06
 210  0.8446449877395E-06  0.7695815530122E-06  0.8460378666122E-06  0.9224941802122E-06
 211  0.8359671461544E-06  0.7623056099911E-06  0.8378058702761E-06  0.9133061305611E-06
 212  0.8277114224692E-06  0.7542090104313E-06  0.8293375728189E-06  0.9044661352065E-06
 213  0.8198470856315E-06  0.7460303009327E-06  0.8200321800474E-06  0.8940340591620E-06
 214  0.8112227518573E-06  0.7380299012814E-06  0.8108952914945E-06  0.8837606817075E-06
 215  0.8012576445650E-06  0.7314237209551E-06  0.8029434115643E-06  0.8744631021734E-06
 216  0.7911755510264E-06  0.7245319471007E-06  0.7954267598085E-06  0.8663215725163E-06
 217  0.7827360906721E-06  0.7160634700574E-06  0.7872477538519E-06  0.8584320376464E-06
 218  0.7761177713707E-06  0.7079153574106E-06  0.7786804157008E-06  0.8494454739909E-06
 219  0.7697105061235E-06  0.7009178612495E-06  0.7703574440105E-06  0.8397970267716E-06
 220  0.7622935931909E-06  0.6943565826348E-06  0.7622534145454E-06  0.8301502464561E-06
 221  0.7545509113847E-06  0.6873129932993E-06  0.7544020081608E-06  0.8214910230223E-06
 222  0.7474840996058E-06  0.6802881736238E-06  0.7469655443028E-06  0.8136429149818E-06
 223  0.7405227233171E-06  0.6738766979188E-06  0.7395973108115E-06  0.8053179237041E-06
 224  0.7328911486159E-06  0.6671414220798E-06  0.7321573546591E-06  0.7971732872384E-06
 225  0.7254385193683E-06  0.6607814396022E-06  0.7253246560763E-06  0.7898678725504E-06
 226  0.7189634810679E-06  0.6557665561448E-06  0.7191641875393E-06  0.7825618189337E-06
 227  0.7123687650979E-06  0.6503420697470E-06  0.7124680028352E-06  0.7745939359235E-06
 228  0.7046158872189E-06  0.6435152620261E-06  0.7046614272177E-06  0.7658075924092E-06
 229  0.6967635463056E-06  0.6357773985276E-06  0.6969267204237E-06  0.7580760423199E-06
 230  0.6899281796149E-06  0.6289919232955E-06  0.6903703483892E-06  0.7517487734828E-06
 231  0.6832161597775E-06  0.6239830820335E-06  0.6843979486291E-06  0.7448128152247E-06
 232  0.6755717769991E-06  0.6183829398550E-06  0.6777878556115E-06  0.7371927713680E-06
 233  0.6677148497816E-06  0.6116850325391E-06  0.6704418298567E-06  0.7291986271743E-06
 234  0.6605082965813E-06  0.6053972344436E-06  0.6632213252781E-06  0.7210454161126E-06
 235  0.6532475325081E-06  0.5991635117480E-06  0.6564802127795E-06  0.7137969138111E-06
 236  0.6454739912725E-06  0.5931729335783E-06  0.6497442578533E-06  0.7063155821282E-06
 237  0.6386913366534E-06  0.5869948838022E-06  0.6428297072799E-06  0.6986645307575E-06
 238  0.6339158677686E-06  0.5805640929084E-06  0.6361152134572E-06  0.6916663340060E-06
 239  0.6293550563581E-06  0.5751138633866E-06  0.6297422596286E-06  0.6843706558707E-06
 240  0.6231441482452E-06  0.5698962166026E-06  0.6236480943916E-06  0.6773999721807E-06
 241  0.6164625826724E-06  0.5648343373232E-06  0.6180137529419E-06  0.6711931685605E-06
 242  0.6111245665561E-06  0.5598701480714E-06  0.6126101970135E-06  0.6653502459556E-06
 243  0.6062185313410E-06  0.5541198605685E-06  0.6065537177701E-06  0.6589875749717E-06
 244  0.5999825513311E-06  0.5478525393040E-06  0.5996716972499E-06  0.6514908551958E-06
 245  0.5929356849128E-06  0.5418480707283E-06  0.5929551800486E-06  0.6440622893688E-06
 246  0.5866034324740E-06  0.5365540654193E-06  0.5869926822898E-06  0.6374312991604E-06
 247  0.5809024384660E-06  0.5314960882063E-06  0.5812315796662E-06  0.6309670711260E-06
 248  0.5748564361725E-06  0.5260316450808E-06  0.5751672510387E-06  0.6243028569967E-06
 249  0.5686808293039E-06  0.5205670914795E-06  0.5692205141469E-06  0.6178739368143E-06
 250  0.5632346668328E-06  0.5158268380788E-06  0.5638710384959E-06  0.6119152389130E-06
 251  0.5581532909063E-06  0.5109038445332E-06  0.5586531134984E-06  0.6064023824637E-06
 252  0.5523293863018E-06  0.5053828373184E-06  0.5528493096214E-06  0.6003157819243E-06
 253  0.5458353886971E-06  0.4998424175629E-06  0.5468025508651E-06  0.5937626841673E-06
 254  0.5395357975390E-06  0.4950772893121E-06  0.5413680494020E-06  0.5876588094919E-06
 255  0.5332905225683E-06  0.4909599215265E-06  0.5363533659748E-06  0.5817468104232E-06
 256  0.5266765851024E-06  0.4860054548442E-06  0.5309597078617E-06  0.5759139608793E-06
 257  0.5206809225458E-06  0.4805175397795E-06  0.5252800972738E-06  0.5700426547680E-06
 258  0.5163203994742E-06  0.4755971230516E-06  0.5198772531092E-06  0.5641573831668E-06
 259  0.5126102755520E-06  0.4711730778490E-06  0.5146173841482E-06  0.5580616904474E-06
 260  0.5080895829183E-06  0.4664711005520E-06  0.5091596455173E-06  0.5518481904825E-06
 261  0.5031899698529E-06  0.4615241463969E-06  0.5037990742739E-06  0.5460740021510E-06
 262  0.4990221534884E-06  0.4569725141622E-06  0.4988765577289E-06  0.5407806012957E-06
 263  0.4950396786816E-06  0.4527261778150E-06  0.4941116723686E-06  0.5354971669223E-06
 264  0.4899180061046E-06  0.4480536050852E-06  0.4890949852541E-06  0.5301363654231E-06
 265  0.4839209915322E-06  0.4429840459649E-06  0.4839504410872E-06  0.5249168362095E-06
 266  0.4784911559138E-06  0.4383499319578E-06  0.4790901915137E-06  0.5198304510695E-06
 267  0.4738664070501E-06  0.4344299466209E-06  0.4744784593344E-06  0.5145269720479E-06
 268  0.4688976762989E-06  0.4304811399351E-06  0.4696238382166E-06  0.5087665364981E-06
 269  0.4632330975566E-06  0.4259639556373E-06  0.4644280129696E-06  0.5028920703018E-06
 270  0.4579177347269E-06  0.4212032991613E-06  0.4593949275426E-06  0.4975865559238E-06
 271  0.4535147403270E-06  0.4166831503132E-06  0.4547635479730E-06  0.4928439456328E-06
 272  0.4492256786367E-06  0.4124855620773E-06  0.4501644661557E-06  0.4878433702342E-06
 273  0.4444012045679E-06  0.4081591737831E-06  0.4453367719405E-06  0.4825143700979E-06
 274  0.4396538728311E-06  0.4037270671654E-06  0.4405290930868E-06  0.4773311190081E-06
 275  0.4357712651054E-06  0.3997550258557E-06  0.4360518571677E-06  0.4723486884797E-06
 276  0.4322993599443E-06  0.3960851807615E-06  0.4318394306156E-06  0.4675936804697E-06
 277  0.4281149884906E-06  0.3922835242552E-06  0.4275847724975E-06  0.4628860207399E-06
 278  0.4231662266350E-06  0.3882410028678E-06  0.4231425188013E-06  0.4580440347347E-06
 279  0.4185787518450E-06  0.3841777181775E-06  0.4186531662587E-06  0.4531286143399E-06
 280  0.4147713399677E-06  0.3797875013237E-06  0.4142358713435E-06  0.4486842413633E-06
 281  0.4107209433473E-06  0.3756157860067E-06  0.4098436795940E-06  0.4440715731814E-06
 282  0.4057746639128E-06  0.3718902380764E-06  0.4054898422650E-06  0.4390894464537E-06
 283  0.4008987323226E-06  0.3680322598285E-06  0.4012220021929E-06  0.4344117445573E-06
 284  0.3970650793766E-06  0.3640235309673E-06  0.3969021101211E-06  0.4297806892750E-06
 285  0.3935176872587E-06  0.3597615157779E-06  0.3924428387690E-06  0.4251241617602E-06
 286  0.3890087397465E-06  0.3556993836752E-06  0.3881091516974E-06  0.4205189197196E-06
 287  0.3839853002147E-06  0.3521590970742E-06  0.3841730293439E-06  0.4161869616136E-06
 288  0.3799616381982E-06  0.3487996206965E-06  0.3804485002146E-06  0.4120973797328E-06
 289  0.3770125218127E-06  0.3453211311079E-06  0.3764982739307E-06  0.4076754167535E-06
 290  0.3736059490378E-06  0.3414590761244E-06  0.3722227243945E-06  0.4029863726645E-06
 291  0.3690968722378E-06  0.3376305473894E-06  0.3680461319664E-06  0.3984617165434E-06
 292  0.3646502637713E-06  0.3344473953484E-06  0.3643916381922E-06  0.3943358810361E-06
 293  0.3611936466843E-06  0.3314596272966E-06  0.3610580440068E-06  0.3906564607170E-06
